,oid,classALeRCE,ra,dec,source,id_source
46056,ZTF18abucchs,LPV,315.07830846842097,-6.115294197368421,CRTSnorth,1007112078870.0
46057,ZTF18aabhkdy,LPV,106.498180012712,52.47728725414312,CRTSnorth,1152024060987.0
46058,ZTF18aagvrdt,LPV,247.28271476666663,34.22950582222221,CRTSnorth,1135073011544.0
46059,ZTF18aaiylnl,LPV,251.91811266862263,56.96781664194054,CRTSnorth,1157050015163.0
46060,ZTF18aabebwy,LPV,187.7420894876342,12.308542619086015,CRTSnorth,1112066024303.0
46061,ZTF18abcosah,LPV,321.4336483555556,16.036289088888882,CRTSnorth,1115111078881.0
46062,ZTF18abwwetw,LPV,321.1233198694444,-7.731737525,CRTSnorth,1007114022463.0
46063,ZTF18absurtt,LPV,305.569885844366,-15.826972630281697,CRTSnorth,1015106046453.0
46064,ZTF18absqahz,LPV,9.183784505111108,-6.1495795335555545,CRTSnorth,1007004045838.0
46065,ZTF18abymyvr,LPV,317.1116625666668,-13.018561706349228,CRTSnorth,1012111037013.0
46066,ZTF18abuszum,LPV,305.8194387934898,-18.071869006336804,CRTSnorth,1018105066635.0
46067,ZTF18acuenfq,LPV,212.82329777907785,-7.747261916075647,CRTSnorth,1007076017064.0
46068,ZTF18aayjejy,LPV,185.7477684270833,21.090585719444444,CRTSnorth,1121063028254.0
46069,ZTF18adbagow,LPV,233.9081923305555,-3.5584622944444453,CRTSnorth,1004084058313.0
46070,ZTF18abskpxj,LPV,311.22501030270246,-7.733070512237238,CRTSnorth,1007110031647.0
46071,ZTF18aavslct,LPV,235.4927981695887,20.659070513059163,CRTSnorth,1121080023372.0
46072,ZTF18abtjpwn,LPV,309.94528410073553,-15.898041294035938,CRTSnorth,1015107040102.0
46073,ZTF18abasckm,LPV,327.3955175666667,14.608972761388884,CRTSnorth,1115113018058.0
46074,ZTF18abtfyjo,LPV,16.150975119047633,2.0603050960317444,CRTSnorth,1101006040068.0
46075,ZTF18abryowh,LPV,327.13874009999995,0.9752882293532336,CRTSnorth,1101117026355.0
46076,ZTF19aayxaxc,LPV,244.58345918817184,0.0011046548387096,CRTSnorth,1101087000860.0
46077,ZTF18abmjvlt,LPV,241.009130912,8.7682253972,CRTSnorth,1109086010468.0
46078,ZTF18acqsprp,LPV,191.3344453434106,3.982087545865634,CRTSnorth,1104069023581.0
46079,ZTF18acuynnr,LPV,81.6574177223077,14.049298149316227,CRTSnorth,1112029105713.0
46080,ZTF18abtsqny,LPV,16.33745867575758,-9.29523902171717,CRTSnorth,1009006034854.0
46081,ZTF18abvbckz,LPV,314.75281022800004,-7.541525106888889,CRTSnorth,1007112032655.0
46082,ZTF18abzboya,LPV,81.95547660268821,6.777391973655912,CRTSnorth,1107029040104.0
46083,ZTF18aabiuqw,LPV,113.1364285185185,26.78757549444443,CRTSnorth,1126037046786.0
46084,ZTF18abwvftk,LPV,313.0980966592263,-16.434877710912705,CRTSnorth,1015108018209.0
46085,ZTF18acbavgp,LPV,263.18217515614015,15.45849582017543,CRTSnorth,1115091064021.0
46086,ZTF17aabbtpc,LPV,82.72160156320756,-18.423590146331247,CRTSnorth,1018029035260.0
46087,ZTF18aabiwyc,LPV,121.14811510196084,56.35983353267973,CRTSnorth,1155026067093.0
46088,ZTF18abvboup,LPV,331.16590473055567,-7.19270086388889,CRTSnorth,1007117033405.0
46089,ZTF18abcwfcp,LPV,269.20112011771914,25.905944811695925,CRTSnorth,1126087024212.0
46090,ZTF18adbaewc,LPV,244.5834860614033,0.0011513429824561,CRTSnorth,1101087000860.0
46091,ZTF18abuszrm,LPV,306.205716813793,-19.55304469597701,CRTSnorth,1018105009494.0
46092,ZTF18abjyxzz,LPV,229.66779144729747,14.984180040765786,CRTSnorth,1115080022163.0
46093,ZTF18abmwzym,LPV,252.3881611666665,19.532993197777788,CRTSnorth,1118087090362.0
46094,ZTF18aabtrno,LPV,192.86654992592585,33.540330329259284,CRTSnorth,1132059049174.0
46095,ZTF18aaaxkoi,LPV,130.17186920476186,42.60926259424604,CRTSnorth,1143035006571.0
46096,ZTF19aavkckf,LPV,11.176683640760848,41.44709027185991,CRTSnorth,1140004063774.0
46097,ZTF18aabqepn,LPV,182.9242052557375,10.08176781967215,CRTSnorth,1109065034047.0
46098,ZTF18abvbdit,LPV,319.7729570202701,-11.189400971396417,CRTSnorth,1009113003726.0
46099,ZTF17aaaikcv,LPV,105.32880790427927,38.50036680180182,CRTSnorth,1138031065460.0
46100,ZTF17aacwcol,LPV,77.689031300947,24.45366251079545,CRTSnorth,1123026079944.0
46101,ZTF18acaoelw,LPV,106.5323211653845,40.20034300427349,CRTSnorth,1140030024522.0
46102,ZTF18acvmpxr,LPV,159.0444824391305,-5.761246910386473,CRTSnorth,1007057055674.0
46103,ZTF18aamgtdo,LPV,232.4887068243336,14.933266984777775,CRTSnorth,1115081021809.0
46104,ZTF18abuungf,LPV,340.3803377533333,-7.680772032525255,CRTSnorth,1007121015986.0
46105,ZTF17aacrezf,LPV,119.73265080911484,33.97714885572917,CRTSnorth,1135036003220.0
46106,ZTF18acbzohe,LPV,118.14492356030684,40.860813964473714,CRTSnorth,1140033037624.0
46107,ZTF18abbwgmt,LPV,263.0108965290807,16.797297254291173,CRTSnorth,1115091120283.0
46108,ZTF19aaqxmrv,LPV,244.90544337276413,-1.2632242585365852,CRTSnorth,1001088058518.0
46109,ZTF18aacaeoe,LPV,168.33604217060582,22.187846836868683,CRTSnorth,1121057051781.0
46110,ZTF18abadjna,LPV,326.3244159303028,22.46536207878789,CRTSnorth,1121110108958.0
46111,ZTF18acvhsuq,LPV,150.01628098690486,5.2962044015873,CRTSnorth,1104054056170.0
46112,ZTF17aackrmj,LPV,144.85661325784315,34.24802533006534,CRTSnorth,1135043008550.0
46113,ZTF19aaafrqu,LPV,246.52660035606067,-4.121302380555553,CRTSnorth,1004088057779.0
46114,ZTF17aaaehmq,LPV,345.0183954405799,29.239174498913037,CRTSnorth,1129109032016.0
46115,ZTF18abodpwn,LPV,9.615662532234431,-4.354516588278388,CRTSnorth,1004004020792.0
46116,ZTF18aagrdte,LPV,247.3325790377005,31.16526339343433,CRTSnorth,1132076004326.0
46117,ZTF18abujbfc,LPV,106.532465304762,40.20030696031744,CRTSnorth,1140030024522.0
46118,ZTF18abgmpwb,LPV,218.36783204211736,17.612906120720716,CRTSnorth,1118075016185.0
46119,ZTF18acfdlmv,LPV,262.10713155499985,70.14172190444442,CRTSnorth,1169036059405.0
46120,ZTF18aabeyiu,LPV,49.17986505144927,23.29514204406485,CRTSnorth,1123017017621.0
46121,ZTF17aacnrwh,LPV,4.066673710162603,-17.603438284417326,CRTSnorth,1018002041429.0
46122,ZTF17aaaspsy,LPV,110.47731522037031,33.505505396296265,CRTSnorth,1132034084529.0
46123,ZTF18abznqgh,LPV,335.63870487,-10.596845840555558,CRTSnorth,1009119014423.0
46124,ZTF17aadnztw,LPV,65.30060346286552,16.437930760818695,CRTSnorth,1115023053545.0
46125,ZTF18absxywv,LPV,343.6625818483818,-18.46497930960087,CRTSnorth,1018118027928.0
46126,ZTF18abnyhra,LPV,324.1542787833332,5.23997733940972,CRTSnorth,1104116073984.0
46127,ZTF18acebnqk,LPV,80.56634320549828,8.627624593585335,CRTSnorth,1109029006269.0
46128,ZTF17aaafcmk,LPV,45.80438491142192,0.905524902097902,CRTSnorth,1101017018037.0
46129,ZTF17aaadmkr,LPV,47.071879090174114,5.837507883291874,CRTSnorth,1107017003863.0
46130,ZTF18abosqxq,LPV,353.010909713483,24.645285424406985,CRTSnorth,1123116053630.0
46131,ZTF17aabtovc,LPV,152.6541038992752,-6.853747948550723,CRTSnorth,1007054035482.0
46132,ZTF18aaadcnt,LPV,164.84933337716038,39.73494158209876,CRTSnorth,1140046004742.0
46133,ZTF18abuamao,LPV,44.56924095208332,-15.958064147222226,CRTSnorth,1015016016587.0
46134,ZTF18aaakinm,LPV,21.29268786210525,17.643105181871356,CRTSnorth,1118008014972.0
46135,ZTF18abvbbxd,LPV,316.400529022951,-7.184023296721312,CRTSnorth,1007112044534.0
46136,ZTF18abntqsv,LPV,314.5819189317204,-14.844642592204284,CRTSnorth,1015109069810.0
46137,ZTF18abnzqvu,LPV,35.331618906349185,31.88256185052909,CRTSnorth,1132011023319.0
46138,ZTF18abnuexw,LPV,306.8272335951615,-1.9889549873655927,CRTSnorth,1001110038049.0
46139,ZTF18abmfmjt,LPV,304.4201498333333,-9.315928779761904,CRTSnorth,1009108092435.0
46140,ZTF18aaajfov,LPV,197.4734570593748,23.428027134027783,CRTSnorth,1123065017947.0
46141,ZTF18abnbgqr,LPV,322.45601988238985,-15.553903580712776,CRTSnorth,1015112036728.0
