oid,MHPS_ratio_r,MHPS_low_r,MHPS_high_r,MHPS_non_zero_r,MHPS_PN_flag_r,MHPS_ratio_g,MHPS_low_g,MHPS_high_g,MHPS_non_zero_g,MHPS_PN_flag_g,Multiband_period,PPE,Period_band_r,delta_period_r,Period_band_g,delta_period_g,GP_DRW_sigma_r,GP_DRW_tau_r,GP_DRW_sigma_g,GP_DRW_tau_g,Psi_CS_r,Psi_eta_r,Psi_CS_g,Psi_eta_g,Harmonics_mag_1_r,Harmonics_mag_2_r,Harmonics_mag_3_r,Harmonics_mag_4_r,Harmonics_mag_5_r,Harmonics_mag_6_r,Harmonics_mag_7_r,Harmonics_phase_2_r,Harmonics_phase_3_r,Harmonics_phase_4_r,Harmonics_phase_5_r,Harmonics_phase_6_r,Harmonics_phase_7_r,Harmonics_mse_r,Harmonics_mag_1_g,Harmonics_mag_2_g,Harmonics_mag_3_g,Harmonics_mag_4_g,Harmonics_mag_5_g,Harmonics_mag_6_g,Harmonics_mag_7_g,Harmonics_phase_2_g,Harmonics_phase_3_g,Harmonics_phase_4_g,Harmonics_phase_5_g,Harmonics_phase_6_g,Harmonics_phase_7_g,Harmonics_mse_g,iqr_r,iqr_g,Power_rate_1/4,Power_rate_1/3,Power_rate_1/2,Power_rate_2,Power_rate_3,Power_rate_4,Amplitude_r,AndersonDarling_r,Autocor_length_r,Beyond1Std_r,Con_r,Eta_e_r,Gskew_r,MaxSlope_r,Mean_r,Meanvariance_r,MedianAbsDev_r,MedianBRP_r,PairSlopeTrend_r,PercentAmplitude_r,Q31_r,Rcs_r,Skew_r,SmallKurtosis_r,Std_r,StetsonK_r,Pvar_r,ExcessVar_r,SF_ML_amplitude_r,SF_ML_gamma_r,IAR_phi_r,LinearTrend_r,Amplitude_g,AndersonDarling_g,Autocor_length_g,Beyond1Std_g,Con_g,Eta_e_g,Gskew_g,MaxSlope_g,Mean_g,Meanvariance_g,MedianAbsDev_g,MedianBRP_g,PairSlopeTrend_g,PercentAmplitude_g,Q31_g,Rcs_g,Skew_g,SmallKurtosis_g,Std_g,StetsonK_g,Pvar_g,ExcessVar_g,SF_ML_amplitude_g,SF_ML_gamma_g,IAR_phi_g,LinearTrend_g
ZTF17aabulac,1.1553776264190674,0.49940186738967896,0.4322412312030792,218.0,0.0,0.31637439131736755,0.17973209917545319,0.5680993795394897,324.0,0.0,15.78072997046736,0.14810878005944494,15.78072997046736,0.0,15.78072997046736,0.0,0.15780747274311582,4.808990610438136,0.24595600060966222,5.2518727313750375,0.26570152415800574,0.032115335152707765,0.2496445212978033,0.025908974912450724,0.527803388075546,0.09045357845358538,0.048484601057431034,0.04422877268012597,0.0225636335930871,0.0033004418375486167,0.002351206862316868,0.04816232144160559,3.442986835064745,4.387811837021035,6.126485640569527,0.30453549294317117,5.536427405809135,0.0023860010860249615,0.6720460505465147,0.14885729306805548,0.06780581553691988,0.06331907180419769,0.026183590799670597,0.005537304765517106,0.008040544837667316,0.31480626317807014,3.9485186507736336,5.303771482175524,0.9134497679828524,3.420657025518438,6.112533584054356,0.003131268769258233,0.8234970000000015,1.0058109999999996,0.0048906975,0.017303467,0.008374434,0.0043363934,0.003168302,0.004981641,0.5769682500000002,1.0,2.0,0.36444444444444446,0.0,,0.06496449999999854,inf,14.48865751111111,0.028526962755491207,0.4227830000000008,0.08,-0.03333333333333333,0.049078698146706894,0.8234970000000015,0.09471199413063197,0.04771234430046615,-1.6231173589560153,0.4133173931965346,0.8067526476626986,1.0,0.0008098392021434194,0.534897150053267,-0.030866418242549883,0.8217006604929274,0.0001595321319009812,0.7488330000000003,1.0,2.0,0.37920489296636084,0.0,,0.5718779999999981,inf,15.453404522935783,0.033938493182353216,0.4176769999999994,0.11009174311926606,0.03333333333333333,0.07621218077230485,1.0058109999999996,0.06795912129861065,0.2531684408041957,-1.5779561036441223,0.5244652640458024,0.7269112757963544,1.0,0.0011486174479107857,0.6757909857942896,-0.03550687589612064,0.8204545804947242,0.00013475704409595285
ZTF18aaxjixb,1.1325149536132812,0.3653048872947693,0.32256075739860535,98.0,0.0,0.7890701293945312,0.45725131034851074,0.5794811844825745,164.0,0.0,11.92718023072402,0.09866476854710915,11.92718023072402,0.0,11.92718023072402,0.0,0.0634654531154765,2.2481601218229073,0.1261359824816705,2.937845283115125,0.3042656306244763,0.0733950259791324,0.2407308770001676,0.027243813502717394,0.3103558760909083,0.052366435778954876,0.055067098980305935,0.04142401359141476,0.04094306139131469,0.0152782853264693,0.024915433466515858,1.386506244325214,4.865621317222369,0.11123158757237839,1.5857910031951086,3.6865934539553127,5.113419101844952,0.0004100396052990507,0.45719026384797623,0.08298082475067124,0.0739856005249743,0.0851436930140027,0.05932748404619282,0.041290121852102,0.01591123666596329,2.164500965678509,5.390547417249704,0.8621683038045971,2.7562154525681457,4.426079504324276,0.13786456113650303,0.0006026583604146614,0.5297407499999984,0.6706265000000009,0.0017442416,0.005437497,0.006993646,0.013897855,0.006151289,0.0018756498,0.36288574999999845,1.0,1.0,0.42718446601941745,0.0,,-0.2566634999999984,inf,13.058844737864076,0.020765153311922562,0.2180060000000008,0.18446601941747573,0.03333333333333333,0.040988858510222756,0.5297407499999984,0.0842034965261651,-0.22995306950464492,-1.6463288679264962,0.27116891305834073,0.6370477749003268,1.0,0.00042860128228956095,0.3804673762263101,0.03854511500681364,0.6720169177370331,7.555663800896091e-05,0.5568079999999993,1.0,1.0,0.38011695906432746,0.0,,0.15625499999999803,,14.274768652046784,0.026167089456528483,0.3561330000000016,0.16374269005847952,0.1,0.04783834996000036,0.6706265000000009,0.09493419357135785,0.06780450344544756,-1.4623472009133662,0.37352914828935674,0.6284363741808444,1.0,0.000682974499218648,0.5109568201581193,0.011341019346709896,0.733102630920511,-8.529602825388082e-05
ZTF18aauqjtk,3.794027805328369,0.29554659128189087,0.07789784669876099,86.0,0.0,2.733041286468506,0.42894384264945984,0.15694744884967804,165.0,0.0,30.995104251726445,0.022511356060702647,30.995104251726445,0.0,1.0303687403770743,29.96473551134937,0.05811110085708605,6.378780139241704,0.1326099815351985,10.61289765005862,0.2385187774910723,0.2541483888185994,0.31158591301687705,0.2771805444098322,0.3349231567416565,0.08273910969275235,0.05931301862591959,0.051391486506987584,0.042620387276609814,0.0074487102783407505,0.04214106191736404,1.1690128385936873,1.4468247432138028,5.747227827069187,2.0778418338146523,0.5392812076721754,4.35310256320771,0.007910450967889586,0.4384374789039632,0.15200782597986284,0.06692792408935973,0.038519886296566275,0.016707127896671038,0.018323840776148646,0.009210157093373354,0.8553043300723626,3.524297963943532,4.813207905316389,1.5608678488386971,2.864166268078664,4.498671253378607,0.027846284660644226,0.20771200000000078,0.7435157500000003,0.02329104,0.1263403,0.07158621,0.04322544,0.04782417,0.05097374,0.45211750000000084,0.9999999739616796,2.0,0.3917525773195876,0.010526315789473684,,-0.0036144999999976335,,13.735009144329897,0.017594586526876167,0.10024700000000131,0.5154639175257731,0.16666666666666666,0.03939467852977708,0.20771200000000078,0.18761168774893572,0.16297682980404407,-0.18017654133360095,0.24166180683734775,0.7465763581170213,1.0,0.0003078920991799395,0.2912493448349407,-0.07884913838109976,0.8561907799714917,-9.747489168317221e-05,0.645168,1.0,3.0,0.36046511627906974,0.0,,0.22961250000000177,inf,15.065647843023259,0.027025095315409645,0.33939450000000004,0.18604651162790697,0.16666666666666666,0.06066651170801781,0.7435157500000003,0.09386247314306614,0.10030272932992053,-1.3188819733423607,0.4071505689460993,0.6985938173814061,1.0,0.0007288632094619529,0.5507707902927597,-0.03136778039159473,0.9271284626413816,-0.0001263538538972642
ZTF18aaaaajq,0.8470329642295837,0.17325054109096527,0.20453813672065735,83.0,0.0,1.4706246852874756,0.7550955414772034,0.5134522318840027,72.0,0.0,1.849328360849505,0.06426635485855403,1.849328360849505,0.0,1.849328360849505,0.0,0.05553979904723505,0.5787375500321424,0.14054149238815247,0.07033727764445592,0.2325562701361582,0.18738088709180248,0.24551481429199618,0.14289851372675422,0.33541823673770105,0.1375010539462814,0.07926401837353288,0.0630301749143113,0.027042695232402287,0.020985186746901963,0.028020554952284712,1.7164832475351695,3.9596242769182908,5.3894371457911765,6.202365088937001,3.5852288172447455,4.779263115036555,0.0023083448687795773,0.4216256501380791,0.20963019804190222,0.12631240135040192,0.0643347550956458,0.03726778082006658,0.0228888398821188,0.02050644867987211,2.0166617535665328,3.870161448468628,5.738356065580638,1.4649030400146899,3.393562859193869,5.005549469308896,0.0014041648514156353,0.3635199999999976,0.6867097500000021,0.047409587,0.039421435,0.07532991,0.01528028,0.0203026,0.038971506,0.4147224999999999,0.9987350782978323,1.0,0.4111111111111111,0.0,,-0.15051399999999404,inf,16.895429444444446,0.014020254015988701,0.1823339999999991,0.25555555555555554,0.1,0.033349325554559064,0.3635199999999976,0.11504427708272529,-0.4697046206822842,-0.34895332119069655,0.23687821252032598,0.6680419529216588,1.0,0.00019149280320473718,0.31066988252533206,-0.036267094151208844,0.1875893993416777,2.687474178153853e-05,0.5698412500000014,0.9999999999931422,1.0,0.4358974358974359,0.0,2.611375450825947,-0.5043669999999949,0.7817372724879641,17.095364038461533,0.022026083949301972,0.2840120000000024,0.28205128205128205,-0.03333333333333333,0.04928409579088873,0.6867097500000021,0.11838435829873137,-0.48306504789680965,-1.126780962651962,0.37654392345503174,0.918371058855743,1.0,0.000481034219957147,0.5014144252376589,-0.016519969424242026,3.7247861105991273e-13,3.595290269833881e-05
ZTF17aaadqhs,8.91453742980957,2.292219638824463,0.25713276863098145,9.0,0.0,2.679550886154175,3.124051570892334,1.1658862829208374,30.0,0.0,1.2872628526672707,0.02795486456714802,0.24437927618170432,1.0428835764855664,1.2872628526672707,0.0,0.19792768110006273,2.205628820175516,0.23143297719506994,0.3757454377826421,0.31744542309895785,1.095498377686953,0.26773072649277463,0.5239022068575299,2995.596708552893,2365.941430825653,1574.157132707718,855.4176879884247,357.99891207693145,103.16937212786884,15.504331500701976,0.006958541778587346,0.03268790910683883,0.08969970916330183,0.19187841558921015,0.3508486189698612,0.5886096429936956,0.00013796971243748305,0.6490747194182374,0.9304877055113521,0.6808949789010689,0.42158052796602546,0.377818939662772,0.21596458343404934,0.0842942299223856,5.089178397280143,4.009796621556303,3.481611503099791,3.0311419321471096,2.28774477938512,1.7493450960194146,0.0031083746156860036,0.9523314999999997,0.3829812500000038,0.04230451,0.0456563,0.3398563,0.010851016,0.004326908,0.030748505,0.6111725000000003,0.9999652909347249,1.0,0.3684210526315789,0.0,1.6897963107225906,0.37432700000000096,0.2817668023794489,18.330465631578942,0.024752754851107815,0.39101499999999945,0.21052631578947367,0.0,0.04384222453422821,0.9523314999999997,0.21836672409492225,0.30359794252502537,-1.5056401591241926,0.45372952208513073,0.8436655137462722,1.0,0.0005990483105276296,0.8479078845172738,0.1828843975358264,0.6412738080243836,-0.0002083305450466841,0.7390459999999983,1.0,1.0,0.5263157894736842,0.0,0.02891917689499642,-1.0839690000000033,1.1472605546126096,18.87141802631579,0.025622208772630838,0.0992179999999987,0.631578947368421,0.1,0.06801157511145946,0.3829812500000038,0.138377246248566,-1.1909344606158105,0.07138341475439525,0.4835274125058522,0.9306624962288054,1.0,0.0006240281238965288,0.6292379631569099,-0.033390484958783086,0.08618697431174831,0.0003020395887414059
ZTF17aaaduqv,0.7431617975234985,0.05562414973974228,0.07484796643257141,147.0,0.0,1.0035507678985596,0.13908998668193817,0.13859786093235016,147.0,0.0,1.1780753430467414,0.1778827690511916,1.1780753430467414,0.0,1.1780753430467414,0.0,0.02328730866013081,0.2094510504709581,0.04240421131882573,0.06819274479522314,0.2892204887338583,0.1119822311599224,0.2755057772068201,0.08212855841156431,0.1730317345443125,0.03149150213824649,0.014912687003194793,0.01979678792615943,0.014079270741810875,0.012898959548075696,0.007989814482137631,1.02928233622921,1.8127618372942411,2.671811841510082,3.7594785302865654,5.632824680440539,0.8926677964793424,0.000838002978022098,0.25457999646503743,0.03997290564933743,0.028975366508983583,0.020470483109979214,0.016744050227356463,0.006305934619230849,0.007943817137916323,1.2814241561868371,2.1560953159400587,2.2609877935410836,4.729747632938903,6.117446905828283,1.8465103505823812,0.0013352718897289674,0.29905000000000115,0.3951899999999995,0.0021090878,0.0077255554,0.0016910062,0.0039551654,0.004439513,0.002415385,0.20409275000000004,1.0,1.0,0.3469387755102041,0.0,,0.18102099999999766,inf,13.33512706802721,0.011316220377091367,0.08542500000000075,0.36054421768707484,0.03333333333333333,0.026367856215776374,0.29905000000000115,0.09198691061189279,0.3479124178085461,-1.2121109995644392,0.15090323665831218,0.6699899200139239,1.0,0.00012712974390803077,0.2450539047120642,0.09657584832211204,0.02941681849282993,-5.7671411632080375e-05,0.30409174999999955,1.0,1.0,0.46308724832214765,0.0,,0.06786100000000062,inf,13.54196994966443,0.015245778597453696,0.19699299999999909,0.020134228187919462,0.1,0.02668137193025027,0.3951899999999995,0.10745526001676328,0.06496986657147837,-1.6198703191746353,0.20645787562595508,0.774903700480142,1.0,0.00023125514896092786,0.37456799998863255,0.14029416581643644,3.4003370179138385e-08,-3.085956007192819e-05
ZTF18ablpdbl,3.9805681705474854,0.2583296000957489,0.06489767134189606,10.0,0.0,2.4502663612365723,0.4852125942707062,0.1980244368314743,37.0,0.0,1.6684228122979388,0.021302377796203364,1.6684228122979388,0.0,1.6684228122979388,0.0,0.05946647281525306,1.6338921379864417,0.12502819114131986,0.1642492378162164,0.2985459342354659,1.2395260497840044,0.28904949095015847,0.3734960810704241,3.748016583525574,0.5902041587276305,3.2327633377812095,5.873621664294784,6.1327503793936975,3.725548298131862,1.1674685721640665,3.745424065056158,2.7641242131239747,5.806407283375432,2.3592637480662546,5.083270385140136,1.3861722791224054,3.091644410196801e-05,0.5020735025274442,0.15822314264670798,0.026902503154797232,0.04016911543799134,0.054976011713732065,0.05471139514325068,0.02218438311676181,1.1030480049396107,2.8963997925468585,0.6372383638499217,2.004907324667901,3.387204316739325,4.244727767851465,0.0009575096983500812,0.3502864999999993,0.4236733750000017,0.05669529,0.04688156,0.12904169,0.023677452,0.04879086,0.0039862264,0.37199399999999994,0.9995936520927271,1.0,0.3157894736842105,0.0,,0.04287400000000119,,13.427197184210527,0.016979812778136556,0.17023900000000047,0.2631578947368421,0.0,0.029329673699915897,0.3502864999999993,0.23083298039326228,0.5282231893661413,-0.6700959093301591,0.22799129432301707,0.6838708845938352,1.0,0.00028742234435305514,0.22829297203694854,-0.15193758219081763,0.5405365580561754,-5.5510595515193746e-05,0.5292385,0.99999993490637,1.0,0.3,0.0,,0.3774430000000031,,13.886052674999998,0.022057586128637292,0.12304099999999885,0.475,-0.03333333333333333,0.0531536666178115,0.4236733750000017,0.2231584593582231,0.6142041755129339,-0.6311281288258965,0.30629280286560673,0.8334454551505891,1.0,0.0004856252081838907,0.6506344871855739,0.1696730317212114,8.453000014782963e-06,0.00017711653647116657
ZTF18acpvmjm,13.919407844543457,0.0537283681333065,0.0038599607069045305,46.0,0.0,3.4404025077819824,0.10959284007549286,0.03185465559363365,51.0,0.0,3.1545741158840266,0.3827511562452026,3.1545741158840266,0.0,3.1545741158840266,0.0,0.014460457513535158,0.05687924854723674,0.028638083082813428,0.06646190341715272,0.2969481905850627,0.2126765226239305,0.24608064530522122,0.1362454835002739,0.15906607710341136,0.013210981913143568,0.014992239553501938,0.013922385855509336,0.011227525871303606,0.016769681779554665,0.014427135803323924,0.2890412116703178,4.138483562244309,2.966108604875542,0.8279022523775872,5.689841982615292,2.4922286496438257,0.00016792093468226944,0.2246322622526509,0.020807801263274753,0.011920789838730232,0.008585002747296048,0.007929289210980281,0.008794333198603076,0.007076662713349086,2.6184280110188154,1.2068772763749323,4.54134743689743,0.6236736423270628,2.0639306402676816,4.849861426732446,0.0001556583662446618,0.2067192500000008,0.32927625000000127,0.0029548113,0.0027476095,0.0018861494,0.00085529435,0.0030886608,0.0008107499,0.16930350000000072,0.9999999999891198,1.0,0.4,0.0,,0.1266844999999961,,13.26628161,0.00865206583147098,0.06702900000000156,0.36,-0.03333333333333333,0.018104804809565285,0.2067192500000008,0.15868686427559775,0.386224880022271,-1.347534119265946,0.11478074182855282,0.8035947410509466,1.0,7.457064573624563e-05,0.1744223128724998,0.02968673319863306,4.906066733885492e-13,-2.41972161074789e-06,0.24315200000000026,0.9999999999999505,1.0,0.43636363636363634,0.0,,-0.2502575,inf,14.569941363636362,0.011581092012599442,0.09825700000000026,0.21818181818181817,0.23333333333333334,0.025416378066294393,0.32927625000000127,0.15372797788988557,-0.400961414035292,-1.4746268202249126,0.1687358315504513,0.9154435172654937,1.0,0.00013366268185981088,0.25244719721342856,0.034845758785954604,6.4583954107199e-13,0.0002736958938980699
ZTF18abcqmyx,,,,,,2.182785987854004,0.11478464305400848,0.052586302161216736,195.0,0.0,4.558541122595246,0.11734563644618734,,,4.558541122595246,0.0,,,0.057688397804667196,0.7229546609639247,,,0.24331583711906782,0.11964970859969501,,,,,,,,,,,,,,,0.29554731215746755,0.07848365784101687,0.029256921537317307,0.006591425352883371,0.0068755046858611675,0.0199576351120023,0.008280160380615284,1.9341157523479482,3.850810167554602,3.1059014042317274,5.536589121578314,0.6525148119129195,2.9503877323330148,0.003029318526443575,,0.48034,0.0045912503,0.000511377,0.013146835,0.0011642086,0.0040295064,0.0006574162,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3418555000000003,1.0,1.0,0.28292682926829266,0.0,,-0.06688899999999975,inf,13.52903365609756,0.018267994238455487,0.24840000000000018,0.18048780487804877,0.03333333333333333,0.04396159826203207,0.48034,0.10804618097945433,-0.17968600734039922,-1.4004002322930824,0.2471483088814606,0.7503200616936945,1.0,0.0003328780478921279,0.34517041517786773,-0.005668561203111658,0.26555224244719994,-0.00012205829718029016
ZTF18aaaahjh,4.47715950012207,0.5993629693984985,0.13387125730514526,64.0,0.0,4.552356719970703,1.6747260093688965,0.36788108944892883,82.0,0.0,2.0095187703489303,0.08558541710511225,2.0095187703489303,0.0,2.0095187703489303,0.0,0.05822861698370138,0.853943367800538,0.14351139665424895,0.658959215283453,0.23570022461402856,0.2003696264133785,0.23113344818184356,0.1735784389330097,0.26104638033325905,0.10101320299060493,0.07403768316536528,0.015196250570217952,0.002613361132928951,0.01869487473067438,0.02649269669497206,1.9358750541175396,4.075604523679851,0.3160297463903827,2.669103946754774,5.222093254985881,1.8788927014472847,0.002627143471343389,0.4467184015551459,0.15631114683450764,0.1327949229990598,0.08837443772239602,0.024609180730423834,0.039206263798027774,0.03917945239761192,2.3218290450180366,3.915375692561124,0.1926574468897826,4.0339102155517805,2.473452461245042,5.67315963373634,0.004968708952918271,0.3624917500000002,0.5582370000000001,0.01758555,0.038165513,0.039043725,0.0025275399,0.025945961,0.007390633,0.350905,1.0,1.0,0.37142857142857144,0.0,,-0.47534100000000024,inf,13.80669177857143,0.01743800491769763,0.06385799999999975,0.5428571428571428,0.03333333333333333,0.04461928171298166,0.3624917500000002,0.1841756940002998,-0.7376236351369351,-0.9590595462519178,0.24076115913186405,0.8347078177950734,1.0,0.0003029974118062813,0.3152846069184215,-0.02409596447077632,0.3185518783662405,8.112012272412835e-05,0.549982,1.0,1.0,0.38823529411764707,0.0,,-0.7872769999999996,inf,14.506185229411765,0.026703469980297878,0.08307600000000015,0.5529411764705883,-0.1,0.0648359105075464,0.5582370000000001,0.18978554836270944,-0.9809471062007812,-0.6653788708844472,0.38736548180223757,0.9011419641820173,1.0,0.0007110082970950367,0.6045158246479748,0.04060557644525573,0.2297138561606039,-0.0004883159198835723
