oid,MHPS_ratio_r,MHPS_low_r,MHPS_high_r,MHPS_non_zero_r,MHPS_PN_flag_r,MHPS_ratio_g,MHPS_low_g,MHPS_high_g,MHPS_non_zero_g,MHPS_PN_flag_g,Multiband_period,PPE,Period_band_r,delta_period_r,Period_band_g,delta_period_g,GP_DRW_sigma_r,GP_DRW_tau_r,GP_DRW_sigma_g,GP_DRW_tau_g,Psi_CS_r,Psi_eta_r,Psi_CS_g,Psi_eta_g,Harmonics_mag_1_r,Harmonics_mag_2_r,Harmonics_mag_3_r,Harmonics_mag_4_r,Harmonics_mag_5_r,Harmonics_mag_6_r,Harmonics_mag_7_r,Harmonics_phase_2_r,Harmonics_phase_3_r,Harmonics_phase_4_r,Harmonics_phase_5_r,Harmonics_phase_6_r,Harmonics_phase_7_r,Harmonics_mse_r,Harmonics_mag_1_g,Harmonics_mag_2_g,Harmonics_mag_3_g,Harmonics_mag_4_g,Harmonics_mag_5_g,Harmonics_mag_6_g,Harmonics_mag_7_g,Harmonics_phase_2_g,Harmonics_phase_3_g,Harmonics_phase_4_g,Harmonics_phase_5_g,Harmonics_phase_6_g,Harmonics_phase_7_g,Harmonics_mse_g,iqr_r,iqr_g,Power_rate_1/4,Power_rate_1/3,Power_rate_1/2,Power_rate_2,Power_rate_3,Power_rate_4,Amplitude_r,AndersonDarling_r,Autocor_length_r,Beyond1Std_r,Con_r,Eta_e_r,Gskew_r,MaxSlope_r,Mean_r,Meanvariance_r,MedianAbsDev_r,MedianBRP_r,PairSlopeTrend_r,PercentAmplitude_r,Q31_r,Rcs_r,Skew_r,SmallKurtosis_r,Std_r,StetsonK_r,Pvar_r,ExcessVar_r,SF_ML_amplitude_r,SF_ML_gamma_r,IAR_phi_r,LinearTrend_r,Amplitude_g,AndersonDarling_g,Autocor_length_g,Beyond1Std_g,Con_g,Eta_e_g,Gskew_g,MaxSlope_g,Mean_g,Meanvariance_g,MedianAbsDev_g,MedianBRP_g,PairSlopeTrend_g,PercentAmplitude_g,Q31_g,Rcs_g,Skew_g,SmallKurtosis_g,Std_g,StetsonK_g,Pvar_g,ExcessVar_g,SF_ML_amplitude_g,SF_ML_gamma_g,IAR_phi_g,LinearTrend_g
ZTF18abmstxk,161.0210418701172,0.2582297921180725,0.0016037021996453404,4.0,0.0,139.46083068847656,0.09609301388263702,0.0006890323129482567,1.0,0.0,0.08829898048805546,0.005729172166088592,0.4926108443811376,0.40431186389308216,0.05089562527381415,0.037403355214241304,0.01688844239807292,74.60545473431472,0.020865477320919514,37.8550650534935,0.3217691947027574,2.055670397070332,0.3081848226159424,1.3450718169270242,4.479030261680709,2.310050170592117,0.3267908713209851,1.4876628763230428,0.9092755179755004,0.14760781376163998,0.48582467429404497,3.1146215294389235,2.150572790452614,0.0983440854200186,3.562808289570528,4.261626684776038,1.519298622107069,3.605570511095151e-06,0.5049416099425734,0.46111529483254676,0.3234599203724735,0.28189624333695945,0.28483203463294865,0.0883376107582843,0.12714163156373962,3.623938147770896,0.39787905834453774,4.347652252074052,0.887674780463831,5.12967500967061,2.089325005926746,0.00533797444195329,0.0433520000000005,0.2375810000000005,0.14054659,0.14054659,0.14054659,0.056432642,0.056193102,0.07591534,0.19359974999999974,0.9999969996284553,2.0,0.18181818181818182,0.0,,0.2551434999999991,inf,13.26335059090909,0.009342615210686857,0.01857299999999995,0.5454545454545454,0.0,0.02428594718532504,0.0433520000000005,0.37504511667889684,1.5004863913671087,3.130591641349085,0.12391438097529978,0.7265385256693071,1.0,8.625660797310958e-05,0.5420873482324426,0.7714108245474067,0.9864806537440064,0.00013509400716152993,0.24446100000000026,0.9958662056913187,2.0,0.35,0.0,,-0.06622600000000034,inf,14.764680024999999,0.009819241713833905,0.12243000000000048,0.0,-0.03333333333333333,0.018783941230532508,0.2375810000000005,0.4204619044306125,-0.14258052258044288,-1.2049776903042693,0.1449779619928902,0.9137527205457668,1.0,9.561031909770922e-05,0.3113135423159514,0.4698946980075775,0.9741440947744775,8.659193613756043e-05
ZTF18aborwuc,,,,,,,,,,,0.9233160581840676,0.02345930022064535,0.3621875926667596,0.561128465517308,0.9233160581840676,0.0,0.01594356887922779,22.6684124963358,0.017475740715661728,0.17796353030672676,0.29692955963788337,1.3527144984875048,0.30280595094945434,1.0807182026141824,10.008099457617856,6.790018875061167,4.8927990217533734,3.7602627959370327,4.904348341520363,11.740716528878274,9.542412528748876,4.372006717565043,6.1695847812342155,1.5195876278029772,4.336354193385599,1.3350159782838027,4.3349495761012005,6.3387555461107205e-25,0.6809271375057976,0.6128942791441007,0.26629267250252353,0.4695422518568711,0.5890514071727715,0.3731016026678608,0.11847851310896045,1.5198855724058227,3.8724776947078556,0.584484034815322,2.2037796714404827,3.754522206223399,5.135420332862147,0.0024552381654205802,0.17144850000000034,0.18664075000000047,0.06319041,0.008306213,0.03231533,0.0032271324,0.010592488,0.021493567,0.21600100000000033,0.7720721521827534,1.0,0.36363636363636365,0.0,0.4684782114448647,-0.052143999999998414,0.02235744302138626,12.78244890909091,0.00944755358612436,0.07897200000000026,0.36363636363636365,0.0,0.01898044881967798,0.17144850000000034,0.38222642387251354,-0.6126059400281,1.623037443729367,0.12076287103053324,0.8832941198918893,1.0,8.898609761751129e-05,0.2809214351756426,0.3309167719172647,0.0034177993159026482,0.00027379803246781013,0.2908975000000007,0.9619196037366788,1.0,0.16666666666666666,0.0,5.947391290378268,0.04823899999999881,0.13841002173625666,13.895005166666667,0.00962236334872323,0.09171599999999991,0.4444444444444444,0.03333333333333333,0.02275083646339068,0.18664075000000047,0.29233434187078944,-0.14135425462955722,0.8936094217537498,0.13370278844605324,0.9321833912358121,1.0,9.203679112195168e-05,0.2374575002622017,0.2187099316451196,9.786343434234985e-06,0.0003336994444713622
ZTF18abcxrfo,3.8876547813415527,0.04927300289273262,0.012674222700297832,25.0,0.0,1.643660545349121,0.06035590171813965,0.03672041743993759,51.0,0.0,1.150747962827828,0.029110621280777793,1.150747962827828,0.0,7.483260673890683,6.332512711062855,0.00690364644803641,0.771696274837836,0.011785520848109259,0.04156870640496654,0.3543249772469387,1.1048864053071428,0.27324811095073076,0.3615618984495609,0.1115462637247484,0.018848889645315052,0.02773027738932592,0.03630546867301393,0.017848594477054794,0.008610482802283907,0.028398653697740323,1.7679393432376083,2.427914333803759,3.6978334536072737,3.814649419647516,0.014761591157634868,5.901072222043764,0.0022199782310958014,0.10424979813065571,0.020190617537593266,0.044568077368872604,0.027992687708148764,0.03954212855988342,0.020902155704190885,0.018326083887160848,5.147243649774461,2.154516072798028,3.388547436884,5.875766600201608,1.601597666380675,3.4890016362026763,0.0018477325362688374,0.1463329999999985,0.1883119999999998,0.034013666,0.016588971,0.035875753,0.073095284,0.053779267,0.020663459,0.144673375,0.9999991876024906,1.0,0.3611111111111111,0.0,,0.05863275000000101,inf,13.921924250000002,0.0060567322530328755,0.041787499999999866,0.4166666666666667,-0.03333333333333333,0.012566447148596817,0.1463329999999985,0.26306911102004965,0.054759461682852076,-0.5645855745927224,0.08432136762925553,0.8434015733201308,1.0,3.625227278264077e-05,0.12645336936848248,0.10739856198185618,0.2779625072429153,-0.0001277898470979505,0.16975849999999948,0.9999999999999938,1.0,0.41379310344827586,0.0,0.09257063218208532,0.162824999999998,102.94418628817381,14.89557276724138,0.00721634637088239,0.09771450000000037,0.29310344827586204,0.03333333333333333,0.01831989150688284,0.1883119999999998,0.18457634027789496,0.17884647955850655,-1.5010784005788196,0.10749161248109688,0.940580912027226,1.0,5.140714743781743e-05,0.20241880670401433,0.2014134619658136,4.517362233949112e-12,-7.294884467772007e-05
ZTF18aavauuw,1.3604152202606201,0.00019100401550531387,0.00014040125824976712,7.0,1.0,398.5675354003906,0.6362647414207458,0.0015963787445798516,71.0,0.0,83.70043505069616,0.02407290121374428,0.9851704310571611,82.715264619639,83.70043505069616,0.0,0.014336514199002818,79.08364214323592,0.01269857874775378,29.848790296711556,0.2713010479931614,1.2484348231549,0.24999132417065403,0.5541476533532639,55577.60027954983,76686.92267282626,73362.33471366683,54106.822276450635,33195.55943311012,12698.634422880044,2098.490162456637,2.723126475559994,5.143696264935848,1.2739992739678385,3.5125574839783353,5.498472575104852,1.046066619831258,0.00011428543088803214,0.12450522093327863,0.07044233995103712,0.018723039024873985,0.016990676897827444,0.01729137316013025,0.012610639299645163,0.02578219733966138,0.02710988981525153,5.627887612484468,5.893866534984435,3.189924264733518,6.281808959252448,1.27697790139929,0.0028729908552161594,0.056474500000000205,0.2703275000000005,0.14099513,0.03453159,0.17761877,0.047351826,0.05663105,0.068350025,0.16646424999999976,0.9999995297044872,2.0,0.47058823529411764,0.0,0.10588785670295675,-0.218373500000002,0.7583096428450448,14.028822852941175,0.006438001374326609,0.028485500000000386,0.6470588235294118,0.13333333333333333,0.019608617260670803,0.056474500000000205,0.3080447477961922,-1.698895349761646,3.67392324434581,0.09031758080741983,0.8174256536469752,1.0,3.81148059727795e-05,0.23320206813494146,0.44805794914104946,0.983337623167145,6.69755685677719e-05,0.21728674999999953,1.0,3.0,0.3924050632911392,0.0,,0.12874499999999856,inf,15.28376184177215,0.00912330535277614,0.062253000000000114,0.45569620253164556,-0.1,0.02185751222686973,0.2703275000000005,0.2623018188252128,0.45752897447944124,-1.2149581772300997,0.13943842622159558,0.8301238836371,1.0,8.263554612059234e-05,0.347354910981677,0.4195360090547495,0.9780141458795492,0.0002603861774144341
ZTF17aabuncv,0.17657779157161713,0.0034482551272958517,0.01952824927866459,30.0,0.0,5083.32568359375,0.1366918981075287,2.6890249500866048e-05,1.0,1.0,2.2938549351290534,0.0120875943368981,2.2938549351290534,0.0,2.2938549351290534,0.0,0.005483506813419047,0.5374410041938005,0.015847147973773033,0.05840685861718853,0.3097988358662423,0.5128753072564006,0.24699725136701722,0.7922234393862759,0.10471228653920621,0.05878084827116329,0.037719600866900155,0.025257031049977428,0.046454512596477725,0.035960775015651626,0.009836383291236211,5.526618152823961,4.790361035820805,0.2496725039877724,1.3126790617177604,1.9062216531169467,1.7423259026733884,0.00017370360642818522,0.9543371242134338,2.0075965228992816,0.43870005987339283,1.031171394546524,0.6367372392841802,1.1233343252912404,0.5491217887068098,3.19684565360478,6.011620144789425,0.07817753021456575,1.8726591091878158,3.984622707848546,0.6522549063019754,0.00034349369850947845,0.036099999999999355,0.25132975,0.0595483,0.019239366,0.13286874,0.03881972,0.04362006,0.020328494,0.14217675000000085,1.0,1.0,0.11764705882352941,0.0,,0.21916399999999925,inf,15.774151838235294,0.004744753996854305,0.019139000000000017,0.7058823529411765,-0.1,0.016449348680995988,0.036099999999999355,0.20166543799173828,2.0949678768613325,4.380940878678956,0.0748444699814536,0.6207266960514473,1.0,2.2024957785018656e-05,0.08432311441780165,0.0012062488618163432,0.1661253062336837,-0.0003580332162076306,0.171894,0.9999929896339821,1.0,0.4,0.0,2.2903156124582837,-0.12961799999999357,0.20995555814062936,16.701362699999997,0.0076168091198412745,0.0832360000000012,0.25,-0.1,0.014124010943911058,0.25132975,0.34150493019259,-0.28845413283745847,-1.6307734496664976,0.12721109172713688,0.9638629728925355,1.0,5.693830205826128e-05,0.16243036680640582,0.15987584273519065,5.212471907862312e-13,-0.0005197316097620571
ZTF18aawgqeu,4.821521759033203,0.03449423611164093,0.007154222112149,5.0,0.0,2.589892625808716,0.07014176994562149,0.027082886546850204,12.0,0.0,0.941059800195221,0.05698825600520929,0.941059800195221,0.0,0.941059800195221,0.0,0.0103975899685491,4.352790098920151,0.010900989844986992,1.730782147213687,0.4358953194211169,0.648261078526098,0.36201678927896946,1.0056856246995487,1159.3116472720963,2013.7372735533322,1009.0843509390174,1989.8191846447862,820.881398030869,1204.6155578565547,655.877954956412,2.952427163258818,2.1155932156589543,0.3618089403328755,0.6757124465026028,2.845642911264484,3.0309125633014666,3.7559649483968273e-19,2.905598502918853,3.1038081256394894,2.338477843404149,1.5804608300302414,1.2721091054840024,0.44871026574826905,0.29014646496953006,3.3271361403268385,6.2118064176128165,3.4220954588273473,0.07331614365623818,3.576971150581315,0.43072251410294626,2.4778392386317332e-05,0.1630212499999999,0.21194100000000304,0.056084465,0.003357009,0.017518926,0.035733443,0.04213802,0.027890462,0.18398000000000003,0.9976774708679943,1.0,0.14285714285714285,0.0,0.001584717382879345,-0.17949199999999976,8.501079306765078,15.538064,0.006378010746208469,0.03809150000000017,0.42857142857142855,0.03333333333333333,0.017572149869973942,0.1630212499999999,0.35816294974038027,-0.8534014658328605,0.9605635932439407,0.09910193916727496,0.916925985893479,1.0,3.9819269624943614e-05,0.07822347057524662,-0.10796859665396573,0.7905778728479353,0.00012453230749653977,0.13303949999999887,0.9999998006917561,1.0,0.4117647058823529,0.0,0.012828438040721014,0.17485699999999582,23.80386527623465,16.327764705882352,0.006397938368765198,0.041617000000002236,0.29411764705882354,-0.06666666666666667,0.013555272838078024,0.21194100000000304,0.24461786134825061,0.3527845282215044,-1.7598693647657373,0.10446403228793491,0.9744998393199806,1.0,3.99372215646183e-05,0.10088966711269011,-0.15130442941549388,0.5644807344850583,-0.00038978283474763655
ZTF18acqerqn,4.901588439941406,0.7516554594039917,0.1533493548631668,7.0,0.0,28.28304100036621,0.007115751039236784,0.0002515907399356365,8.0,0.0,0.056361593645216555,0.0074505890594853685,0.056361593645216555,0.0,0.06299608827752701,0.006634494632310452,0.022364686187346116,1.3636646414299385,0.0005954919858918218,6.637423106477442,0.34353055429497303,0.589790230899862,0.22097919259376217,2.036953135383842,71480.66832822438,47497.852225150724,43968.40392056152,96947.94087716409,79015.31428943017,33896.82932725068,6600.136046966442,4.998804858438202,6.228961330105344,4.910051967108206,3.4481493360804576,1.95409854305964,0.4336195888757093,9.016740387872179e-18,0.8083644055487968,2.384533775160477,0.8300848394788471,1.9616606238763536,1.6392640442179425,1.137487967651231,1.167056932885252,3.5791019987285773,6.010381159621681,4.715243858013009,0.4131101060182294,5.825065127011106,1.2989007948392368,0.00011128441448918232,0.037086000000000396,0.044552749999999364,0.025828693,0.025828693,0.025828693,0.06670182,0.04869233,0.0026600854,0.31207099999999954,0.9999999999359512,2.0,0.14285714285714285,0.0,,-0.3798630000000003,,14.188927642857143,0.013147261161328022,0.01502400000000037,0.7857142857142857,-0.03333333333333333,0.035247188813721374,0.037086000000000396,0.34353055429497303,-1.8769919186179462,4.4819741330696905,0.18654553731982929,0.6800483555477294,1.0,0.00017225448694943346,0.16078014964485146,-0.011375425904913647,0.5967718797701669,0.0003228595821128183,0.04183300000000045,0.6424785161418428,1.0,0.3333333333333333,0.0,,0.004100999999998578,inf,14.9862245,0.0016806776055736682,0.02434449999999977,0.2222222222222222,0.03333333333333333,0.0029282930050641308,0.044552749999999364,0.3266972599777055,-0.15504548425185397,-0.8203879323569305,0.025187011909249445,0.8603838155736238,1.0,2.563616698738606e-06,0.02683920098282106,-0.05736298951791423,0.881845227233478,4.969251627843862e-05
ZTF18abgcmnz,,,,,,178.1337890625,0.10531063377857208,0.0005911884363740683,5.0,0.0,40.42552881323975,0.00809680637266963,,,40.42552881323975,0.0,0.005837708135839734,397.58034511676374,0.017133940627668164,9.74605035824337,0.39427147150281283,1.2082103333418543,0.23524421241500196,1.7062297767568961,4.0882584598093805,1.6147795845655635,1.6010539096086014,3.3022975126026495,2.477757997273449,1.3446506337606594,2.2937391553399764,1.0618856519655275,0.5667238647689246,5.5767681510511755,5.130134739012701,2.001561231084523,2.0395308753819874,1.268488335595387e-28,54.7183291463457,62.054438644884335,56.158384179931076,42.62583819592521,29.550683263709093,16.25320831302104,4.168017479351986,3.1037858675901826,6.046432668568543,2.572301019447338,5.351946945960158,2.100908647153905,5.400911786094957,0.000992191475432005,0.022796999999998846,0.15707049999999967,0.13992374,0.07838841,0.06389038,0.039135624,0.063869715,0.016278481,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3142137500000004,0.9999891778131735,1.0,0.10526315789473684,0.0,0.13103519888845955,0.28965450000000104,0.035927794855284655,14.474596210526316,0.00889468585999035,0.02364599999999939,0.631578947368421,0.06666666666666667,0.03184128502445289,0.15707049999999967,0.18065177189675496,1.3816904304611943,4.743633844489317,0.1287469862428383,0.8503385378499441,1.0,7.836952233892202e-05,0.19301743185224224,0.1169806908062562,0.9017598747521927,-7.324378056286704e-06
ZTF18abmwzox,293.3973693847656,1.2851741313934326,0.004380319267511368,38.0,0.0,635.5737915039062,3.4495086669921875,0.005427392665296793,51.0,0.0,0.14249607994313615,0.0023288949112161283,0.14249607994313615,0.0,99.99999292194893,99.85749684200579,0.047332084486503015,29.060615943224313,0.08257663435712323,37.82697239399097,0.1754204121089855,1.4963989925476724,0.15666361574015952,1.6735706496161225,0.37791180872174224,0.3949838088663723,0.24292987735856772,0.28636392222815854,0.2479774141967211,0.2672003615630278,0.18148195638417625,1.8226111688173061,4.770734197824433,1.0882218431217803,3.2671903270938323,5.696196769958167,1.8896652886054408,0.03403983348832158,0.08164831853197065,0.2426429033726615,0.03068454338694514,0.13328475129644396,0.1561685651314234,0.15463686089334458,0.10212333070557546,1.6646022900937094,0.585878436555332,5.433571369110499,1.4690828591582408,1.2233335159712952,4.096711791872494,0.08268214753398281,0.39555599999999913,0.5026237500000015,0.06701252,0.06701252,0.16121732,0.005111001,0.3284053,0.030401606,0.4240447499999993,0.9999999978470575,2.0,0.3137254901960784,0.0,,0.5198292500000044,inf,13.704557578431375,0.01753165096961362,0.140644,0.39215686274509803,0.16666666666666666,0.05544022203921029,0.39555599999999913,0.2748645160224323,0.6367488834307382,-0.5313556458221216,0.24026352015803212,0.5243429289059078,1.0,0.0003045507004918355,0.6883293077678282,0.37271412433852363,0.972174085508591,0.0001280334783751221,0.5652660000000003,0.9999980423514375,3.0,0.38333333333333336,0.0,,0.4231605000000016,inf,15.207017900000002,0.021015163541161883,0.2504439999999999,0.2833333333333333,-0.03333333333333333,0.05348322727265186,0.5026237500000015,0.225127888983238,0.40269409632809694,-0.8649566681309353,0.31957796814187617,0.8372747050303756,1.0,0.0004370293467058828,0.9680847683419747,0.4538797160611658,0.978664280564655,0.0002770670755030612
ZTF19aayeqza,0.8755629658699036,0.04714176058769226,0.05384165793657303,4.0,0.0,,,,,,0.1711927556019728,0.03276395976196378,0.20654195142095388,0.03534919581898108,0.17155601315052912,0.0003632575485563172,0.0209913378359338,0.22884092945586879,0.018644460061897832,24.217373116292507,0.306339826549404,2.0894525682137957,0.3756449804861245,2.7924936105661278,2.743528833635524,5.2314566382379555,2.143316368327953,1.6701113941149253,1.306516157940149,2.6243040932941315,0.9314246886596923,4.92381553797646,0.8722462043235115,1.3713655546153571,1.1923014569205996,3.6738668602441997,0.2004539090505304,5.427363027920561e-28,1.044319003202597,5.693703720703335,3.0408313262844713,2.2801524679522682,3.044574581235248,0.8902203009626124,3.276222203942986,0.21212233434245498,4.213710982564796,5.5586151111641735,4.885744922417141,5.800643308317149,1.2747372933352032,3.353785791339616e-28,0.22770825000000272,0.15441000000000216,0.018982712,0.027000716,0.013719553,0.016772449,0.03843201,0.054461136,0.20159799999999883,0.9997807773976661,1.0,0.3,0.0,2.723135260041627,-0.2610720000000022,0.09169211348454152,16.0482701,0.009064968860697234,0.02705599999999997,0.6,0.1,0.02059775243912021,0.22770825000000272,0.23829281345801373,-0.8199468305209817,-0.281553776189126,0.14547706872455848,0.9669956310677956,1.0,8.080337386902763e-05,0.20568770056283867,-0.06365114834804415,1.0106965947071707e-05,-8.478239272858674e-05,0.21169850000000068,0.9955207772476053,2.0,0.2857142857142857,0.0,0.13972901416163813,0.2705789999999979,0.01465535877256456,16.671145142857146,0.009190372319790741,0.028950000000001808,0.5714285714285714,0.06666666666666667,0.020905907810193074,0.15441000000000216,0.44188671571319127,0.9073834359875566,1.3003340049171843,0.15321403086012816,0.8337217452239362,1.0,8.269947382398266e-05,3.498489511226689,1.1109684026517708,0.9585427795061996,-0.0006831503477140154
