oid,MHPS_ratio_r,MHPS_low_r,MHPS_high_r,MHPS_non_zero_r,MHPS_PN_flag_r,MHPS_ratio_g,MHPS_low_g,MHPS_high_g,MHPS_non_zero_g,MHPS_PN_flag_g,Multiband_period,PPE,Period_band_r,delta_period_r,Period_band_g,delta_period_g,GP_DRW_sigma_r,GP_DRW_tau_r,GP_DRW_sigma_g,GP_DRW_tau_g,Psi_CS_r,Psi_eta_r,Psi_CS_g,Psi_eta_g,Harmonics_mag_1_r,Harmonics_mag_2_r,Harmonics_mag_3_r,Harmonics_mag_4_r,Harmonics_mag_5_r,Harmonics_mag_6_r,Harmonics_mag_7_r,Harmonics_phase_2_r,Harmonics_phase_3_r,Harmonics_phase_4_r,Harmonics_phase_5_r,Harmonics_phase_6_r,Harmonics_phase_7_r,Harmonics_mse_r,Harmonics_mag_1_g,Harmonics_mag_2_g,Harmonics_mag_3_g,Harmonics_mag_4_g,Harmonics_mag_5_g,Harmonics_mag_6_g,Harmonics_mag_7_g,Harmonics_phase_2_g,Harmonics_phase_3_g,Harmonics_phase_4_g,Harmonics_phase_5_g,Harmonics_phase_6_g,Harmonics_phase_7_g,Harmonics_mse_g,iqr_r,iqr_g,Power_rate_1/4,Power_rate_1/3,Power_rate_1/2,Power_rate_2,Power_rate_3,Power_rate_4,Amplitude_r,AndersonDarling_r,Autocor_length_r,Beyond1Std_r,Con_r,Eta_e_r,Gskew_r,MaxSlope_r,Mean_r,Meanvariance_r,MedianAbsDev_r,MedianBRP_r,PairSlopeTrend_r,PercentAmplitude_r,Q31_r,Rcs_r,Skew_r,SmallKurtosis_r,Std_r,StetsonK_r,Pvar_r,ExcessVar_r,SF_ML_amplitude_r,SF_ML_gamma_r,IAR_phi_r,LinearTrend_r,Amplitude_g,AndersonDarling_g,Autocor_length_g,Beyond1Std_g,Con_g,Eta_e_g,Gskew_g,MaxSlope_g,Mean_g,Meanvariance_g,MedianAbsDev_g,MedianBRP_g,PairSlopeTrend_g,PercentAmplitude_g,Q31_g,Rcs_g,Skew_g,SmallKurtosis_g,Std_g,StetsonK_g,Pvar_g,ExcessVar_g,SF_ML_amplitude_g,SF_ML_gamma_g,IAR_phi_g,LinearTrend_g
ZTF17aabulrh,1.7700915336608887,0.08811170607805252,0.049778051674366,216.0,0.0,3.6537888050079346,0.2386944741010666,0.06532793492078781,178.0,0.0,0.1769680573446336,0.1661722158421125,0.1769680573446336,0.0,0.1769680573446336,0.0,0.04149728695700949,0.15647355203956295,0.044815450916554075,0.07832852038446438,0.2437580710634138,0.04746235339789384,0.2539557623438762,0.056696888484277966,0.2548783317603301,0.0763804655575706,0.02166798005566074,0.00719086910014294,0.004749462525933848,0.006549522515911879,0.005091640768978713,6.249562054973742,6.13547953584299,3.8836339804943725,2.7080292733768165,1.3263307938078628,6.117287333891502,0.0009371867414892911,0.2710240432817075,0.07674445031490175,0.02368773325201138,0.011198608383156707,0.0069636021377187845,0.0016499044784609868,0.006408539346703153,6.210256536160087,6.226089930331408,1.0374886140337813,1.1932349432281928,0.7008715368406958,5.988099587655076,0.002004413162833837,0.35430162499999973,0.4320459999999997,0.0018902841,0.012299274,0.00032948676,0.0011300578,0.0021309082,0.0039070803,0.3015840000000001,1.0,2.0,0.28703703703703703,0.0,,0.45544799999999697,inf,13.996052560185182,0.014677394637310716,0.06164450000000077,0.5879629629629629,0.23333333333333334,0.04268652585660826,0.35430162499999973,0.08456316754834547,0.8948317823468829,-0.7908400230926582,0.20542558679038092,0.6801872831504018,1.0,0.0002146422907011165,0.3010092929978594,0.009061428917375243,0.0017712888748332009,-0.00010395305551145814,0.3457189999999999,1.0,1.0,0.30726256983240224,0.0,,0.25118750000000034,,14.605986891061452,0.015244044265170656,0.18911899999999982,0.12849162011173185,0.23333333333333334,0.03513688398531997,0.4320459999999997,0.08884285226077183,0.3452905536231204,-1.2885570561603767,0.22265431070384312,0.7407332896111265,1.0,0.0002308534187071613,0.30908269923176784,-0.010132269236682477,2.5965291080378686e-05,9.666615044376647e-05
ZTF18abcxqgs,,,,,,,,,,,0.6402695470703685,0.02816184876984873,,,0.6402695470703685,0.0,0.01180307167893961,70.2796894371017,0.00016316257709249023,0.24110359569175946,0.322605880104459,3.540173079843305,0.36539096683168465,0.8231349012002369,1.2814270159364136,1.6092157762328796,3.4367964720730733,2.8474499992272633,5.347730284117837,3.1528602259513296,1.639682675045567,4.714440737099936,2.881506816188505,5.951853981895392,0.6486774966709841,6.116588079674543,1.4677968916473607,9.592548607487503e-29,2.494819533401868,3.5146528164304893,2.672806848596327,1.399707670688526,2.241361375057142,0.2516641968727037,0.8667063405272357,3.0919007341607827,0.015240971851020912,3.0007534794788384,0.15998525131009322,2.0649809355493773,0.32247282994037096,1.3988532349039107e-26,0.20189399999999935,0.027737499999997084,0.010649334,0.008277951,0.018277768,0.028654393,0.004123784,0.00024692397,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02487450000000102,0.7909341633629262,2.0,0.42857142857142855,0.0,1.625773924537727,0.014618999999996163,0.0067251922794334335,16.530577214285717,0.0009873987037867884,0.014832000000000178,0.2857142857142857,-0.03333333333333333,0.0019474045860095753,0.027737499999997084,0.4256179319138887,0.39728726928621927,-0.7024212653609987,0.016322270514233135,0.8843901733781411,0.9921540052569647,2.7261150062757316e-07,0.012513788791013808,-0.12111426318120631,1.385312260018153e-05,-4.1261847030644216e-05
ZTF18abcxrdj,11.958219528198242,0.045663006603717804,0.003818545723333955,7.0,0.0,8.910150527954102,0.2902466654777527,0.03257483243942261,7.0,0.0,0.13022796003402945,0.06882653058198784,0.13022796003402945,0.0,0.13022796003402945,0.0,0.011918575194650819,7.256776588102888,0.018261067323894507,1.386968456153808,0.21519111710090133,1.1071005314467868,0.25115785210406466,1.0811085357950168,1.3234516834861139,2.3295979645299654,1.1480184059466356,1.5367688594824145,0.8203447848805954,0.5719309694544245,0.4078068812217274,0.36815965232154824,6.195154062650218,0.7100157413726649,6.131601336717221,1.0467611185792052,6.18255406417202,0.002860148019221727,0.11811454549791135,0.7899921600083946,0.2063488208170057,0.6274127880386078,0.29675780227595383,0.24938283574434839,0.14607609338031863,4.77501283742284,4.4917283313056116,6.202989613675172,5.904207227611781,1.1717153272146295,0.6416831905003306,1.6723135723148936e-05,0.06724249999999898,0.23597199999999674,0.039202176,0.039202176,0.023304472,0.0089937765,0.018653588,0.0032025448,0.2062532499999996,0.9999991052118091,1.0,0.16666666666666666,0.0,,-0.10146299999999542,inf,16.236210833333335,0.006826990644394963,0.030936000000002295,0.7083333333333334,0.03333333333333333,0.020829991011350333,0.06724249999999898,0.27215093797365214,-0.6794007392659532,2.7281883165054324,0.11084445945959083,0.8402049334475274,1.0,4.553943696263136e-05,0.14455371350002147,0.1530599825980507,0.8433272296499107,-0.0002021712529918174,0.20440699999999978,0.9999999927716319,1.0,0.19047619047619047,0.0,1.4218978918272895,0.4471799999999959,0.08530148408616345,17.15727685714286,0.008157599881649113,0.02587700000000126,0.6666666666666666,0.06666666666666667,0.02792466558735053,0.23597199999999674,0.21239408161288584,1.2266291178806028,1.5778996943023977,0.13996219965924966,0.9231849391850026,1.0,6.498908160259512e-05,0.16772420754859713,-0.05468865814262224,0.6474575894692205,-0.00016741382123980976
ZTF17aabumgs,2.786705255508423,0.09528180956840515,0.0341915637254715,59.0,0.0,2.2467544078826904,0.09301797300577164,0.04140103980898857,159.0,0.0,0.34001431134379495,0.23371010503586243,0.34001431134379495,0.0,0.34001431134379495,0.0,0.01592549429322462,1.6022757572493889,0.021391011914196116,0.43687190618020866,0.31377127103142305,0.08805945149576605,0.3669776174878814,0.05135417147777462,0.1576187733302149,0.012808899208972114,0.015478079436189776,0.0034870689979501304,0.008083655169499871,0.010226819076819901,0.002965321212021957,0.2906856440912584,1.0140789366382492,5.931989704448642,2.687071894738388,1.5327759304952249,1.1232462054030705,0.0005632903229873762,0.17466067200554083,0.03889342928642637,0.0027660835387715477,0.01391457966562375,0.007849867969720063,0.007410835511451749,0.006919620608632294,0.04365100228580232,4.804182475749377,3.525272577807261,4.05429174196968,6.012196512825907,0.07423493994547137,0.0008963211570791569,0.24201075000000039,0.25937699999999886,0.0026319085,0.004043915,0.0048513277,0.008814536,0.0038443867,0.003304283,0.18901624999999989,1.0,1.0,0.4714285714285714,0.0,,0.06554750000000098,inf,14.279752307142857,0.008870848626586743,0.13211574999999876,0.1,0.1,0.016119231810040942,0.24201075000000039,0.1819802059783268,0.16450249644556986,-1.444341830358567,0.1266735211418171,0.8408377940645931,1.0,7.733379841512275e-05,0.16915854031525335,-0.02637230875761194,0.5396173373746621,0.00024964901915105364,0.20417149999999928,1.0,2.0,0.31137724550898205,0.0,,0.2978625000000008,,14.73840233532934,0.009639067751388815,0.04028100000000023,0.5449101796407185,-0.1,0.02527216977705658,0.25937699999999886,0.11524913504459475,0.8021496664817098,-1.017748080643348,0.14206445865746664,0.8201035040127028,1.0,9.245052672691539e-05,0.18965897463711237,-0.018705565875706563,0.08654629262556823,8.863967943656269e-05
ZTF18abosofo,6.279455184936523,0.31084591150283813,0.04950205236673355,48.0,0.0,2.2422001361846924,0.30083703994750977,0.13417047262191772,71.0,0.0,0.14397538933869833,0.021833972041658933,0.14397538933869833,0.0,0.14397538933869833,0.0,0.06814780682245447,0.047561445969682994,0.0883973686034833,0.0972724675474654,0.23390887466235455,0.22076202805487397,0.27600065148179,0.1864836160891874,0.31200526859880046,0.11886371063865624,0.06788317937790662,0.02877587242949568,0.004294411095044787,0.012628331528805698,0.01226698716824149,6.194590273020264,6.137778136251707,5.259819272949605,5.1860413298006325,0.013704792245039954,1.5731625700437508,0.0017074868410871448,0.35577926243308633,0.1301416482583909,0.03936027595779247,0.014370614082779171,0.027869117631680453,0.02694395555680029,0.017488701189064364,6.272348501165133,0.026253636770173117,1.1460934501587463,1.1330724007978503,1.1267283381096487,1.995507441621296,0.004452332567361753,0.3981099999999991,0.3530175,0.023003481,0.023003481,0.012829131,0.016035305,0.03921057,0.017752554,0.4404490000000001,0.9999999422446397,1.0,0.22641509433962265,0.0,,0.4053500000000021,inf,12.972662886792456,0.019592237270258543,0.17361299999999957,0.33962264150943394,0.16666666666666666,0.052287370552487854,0.3981099999999991,0.20748347057748054,0.8440043843708483,-0.17178184021631715,0.25416348930511495,0.7451470526737258,1.0,0.00038331984985424337,0.31807354804156673,-0.026984140760930354,3.5434766429024953e-13,-0.00016305109944705188,0.44474724999999893,1.0,1.0,0.25675675675675674,0.0,,0.7323710000000005,inf,13.635543520270272,0.019822298124959614,0.04116425000000046,0.6756756756756757,-0.23333333333333334,0.061841761105853814,0.3530175,0.13884759727969057,1.193045617594712,0.1391497578850056,0.27028780875465863,0.7451133634385204,1.0,0.00039183529689592163,0.37006479785884966,-0.01111897920675333,1.1530549748204488e-06,-8.436861263185035e-06
ZTF18abcypno,7.277316093444824,0.34153905510902405,0.04693200811743736,15.0,0.0,2.426360607147217,0.2463243454694748,0.10152009129524231,20.0,0.0,0.17518139399366,0.15982979119972596,0.17518139399366,0.0,0.17518139399366,0.0,0.026385181166457095,3.5420193406653766,0.026588767959462176,0.9945801502061026,0.36287979258660996,0.3027051741617815,0.26599382668167804,0.32193442253103116,0.19970768014332158,0.019742526439654746,0.03547251255147919,0.01698530299487154,0.026664338427605072,0.013088372389388028,0.005454111122679228,0.44914068065297474,3.250923336169363,4.819624916739727,5.621905232651107,5.490091809152194,1.5345003805526396,0.0004712980762194096,1.2563031144235335,0.960471508191644,0.8966949886004032,0.6138989681316884,0.4541051483132796,0.20138948078839422,0.11050648073989183,5.987431150821246,5.80591676399103,5.669591716102927,5.5094201911142235,5.437425308794561,5.141168570051057,0.00033999948750210434,0.2959517499999986,0.2917752500000006,0.0031963468,0.006924406,0.0060436334,0.004253386,0.014488627,0.004148526,0.2317972500000005,0.9999999999983877,1.0,0.3684210526315789,0.0,,0.26676350000000326,inf,13.757795539473683,0.01187368676491746,0.09841549999999977,0.3684210526315789,-0.1,0.02693555555987094,0.2959517499999986,0.14821855468793554,0.1983698776575956,-1.711529420032229,0.16335575481148915,0.8436358919690173,1.0,0.00014009172504486254,0.24715540849460468,0.03599759282329768,0.7617175213066908,-4.1496986618512966e-05,0.24001925000000046,0.9999999995373532,1.0,0.3333333333333333,0.0,1.3258499900874365,0.2631975000000004,0.1110924783791461,14.270729333333334,0.011544103053317586,0.11100600000000149,0.1794871794871795,-0.03333333333333333,0.027312077334201008,0.2917752500000006,0.13707269237454092,0.2592384815210037,-1.5093052315998927,0.16474277007000218,0.9108579537251864,1.0,0.00013264510383130117,0.2960366146868856,0.13808775298906462,0.39940606555848157,5.461797706576257e-06
ZTF18aboszec,1.4231181144714355,0.04396563768386841,0.030893877148628235,49.0,0.0,8.186410903930664,0.08327744156122208,0.010172643698751926,30.0,0.0,0.1901920955110482,0.11466053672410825,0.1901920955110482,0.0,0.1901920955110482,0.0,0.013885200537665827,0.6187935137542534,0.010175854894181987,0.3933360434194829,0.2620747941219811,0.5033112171626911,0.2672046411717364,0.2935902860275964,0.15205133230574494,0.07241128781666888,0.06023682421324376,0.01808602337430183,0.035726805871287196,0.008872149849862109,0.016272819111077287,0.9782185766047791,2.8494961471518474,5.028283436242276,1.0006614429249163,3.308925875539009,5.225889053472441,0.0025345553308310535,0.67081565350597,0.48677681318035987,0.3974597280713748,0.3642600188631108,0.08966626105890232,0.217524105184669,0.11294130174583912,1.219672322976634,1.0677141287434324,1.957981182257999,1.8881263150967103,2.33649905519017,3.8650269286574197,0.00025582491598683476,0.12402524999999898,0.1368167499999995,0.0024731723,0.0016418112,0.017427318,0.012976234,0.0026462036,0.012463023,0.15463249999999995,0.9999999999996974,1.0,0.3333333333333333,0.0,,0.0019879999999972142,inf,14.398684333333334,0.008486970023540083,0.04430674999999962,0.6481481481481481,0.03333333333333333,0.02904564573997774,0.12402524999999898,0.11615007662289742,0.2950129467718328,2.551178937411549,0.12220120231541622,0.8083310003468068,1.0,7.086934145381145e-05,0.1531372043873628,-0.06594307717061107,0.21140010393913394,-2.732543339298535e-05,0.16753000000000018,0.9964611077702055,1.0,0.5,0.0,0.0033506346431632535,-0.03264649999999847,1.1277307012495275,14.975304940476192,0.006830519142931788,0.07552649999999961,0.38095238095238093,-0.16666666666666666,0.012885184367078197,0.1368167499999995,0.16752977496598964,-0.39435508122449525,-0.5530195745991713,0.10228910706716361,0.8252278042642631,1.0,4.592113108836647e-05,0.12574420052941684,-0.05706010046480609,0.10730386316091149,-0.00010998410535813351
ZTF18ablrmva,1.1824527978897095,0.05990627035498619,0.05066271498799324,26.0,0.0,3.2261552810668945,0.15980404615402222,0.0495338961482048,49.0,0.0,0.6869869468837393,0.024612778969062776,0.25548278147103193,0.43150416541270736,0.6869869468837393,0.0,0.018785379487312532,0.014735210585579224,0.02074688490291269,0.003102495063345275,0.31339453368703696,0.5259542816168593,0.3990545602850565,0.3070210236322348,0.10281611171843326,0.06705230820320492,0.0610226078044709,0.02038395957533633,0.029267204186173894,0.020157479921346488,0.010909791124204498,0.03550623681503978,5.984997797024688,6.178187869552898,5.924919649943428,1.9941044908849062,4.28936212717768,0.0018184795688788208,0.14061157254061227,0.06475406618559933,0.021860245226705398,0.017010594547905166,0.00858185663825325,0.0076278685838266965,0.017271392647103773,5.692839140956852,0.5889126186555605,0.05642667026037995,3.2490291954870436,0.01049390772607417,5.891346285123978,0.0016489316018820444,0.24275474999999958,0.24411249999999995,0.029728914,0.19843641,0.4098134,0.1215164,0.072434455,0.017217359,0.24680899999999983,0.9999999999995473,1.0,0.35,0.0,0.08437855620578986,0.16831200000000024,132.04019896505073,14.946219637500002,0.009507059080180914,0.0371579999999998,0.6,-0.03333333333333333,0.022628961163796188,0.24275474999999958,0.22980133934538957,0.5423137761857131,-0.728025087858915,0.1420945931190727,0.8437005772817526,1.0,8.960782020894884e-05,0.2993531587199407,0.2826681040053264,4.2300630066830894e-13,-0.0001007997870445442,0.2409157500000001,0.9999999937967741,1.0,0.34545454545454546,0.0,,0.030683249999999163,inf,15.617860199999999,0.009348936758964145,0.143281,0.14545454545454545,-0.1,0.018423795143984508,0.24411249999999995,0.12214429871028559,0.2759114029594146,-1.1873263689007898,0.1460103873201431,0.9201183798442126,1.0,8.643697415038282e-05,0.22116987763275509,0.04959444967465457,4.2300630066830894e-13,-2.8907379471966256e-05
ZTF17aabunzk,2.4316515922546387,0.15932872891426086,0.06552284210920334,31.0,0.0,,,,,,0.15209977486223167,0.055942980604376746,0.15209977486223167,0.0,0.15209977486223167,0.0,0.028231694540985067,0.4019103415542535,0.008723394580055048,5.553683138234174,0.32559464005884114,0.31589837308814,0.37523181707697334,0.9999226649055176,0.22851359107749852,0.048155890341831986,0.02929376585847869,0.041336134271794604,0.025690574559092974,0.04060508348988049,0.014230283103604502,5.622537948191791,3.240721670724686,2.7029842778948074,1.9454613651888515,0.7526251817522003,0.23722253931284554,0.001253725353177773,2.6254295933256095,2.9863871040238847,3.474986201488573,4.4958441170942125,0.4711941720012495,0.19107977837528994,0.3401259352961763,0.12171439440564757,0.21207726752721,3.4867487753595157,1.080622901635535,1.2587119722287312,6.200348016180059,1.944542131369794e-28,0.3052241250000005,0.10021137500000243,0.027504101,0.019073637,0.015238411,0.014071076,0.012542939,0.0017057686,0.2576989999999997,0.9999999999846276,1.0,0.2894736842105263,0.0,0.02065064488357889,0.2977080000000001,3.7813657852334965,13.659945802631581,0.012681813630193568,0.08228074999999979,0.34210526315789475,-0.03333333333333333,0.031820289326894895,0.3052241250000005,0.2019891692058761,0.6860004591698325,-1.024745440109693,0.1732328868675186,0.8627295819267935,1.0,0.0001601994287900956,0.2669783216863878,0.053444229224892184,0.09472344017591466,-4.43187648913407e-05,0.1827040000000002,0.3835352966924035,1.0,0.25,0.0,0.3363915502005732,-0.020570999999996786,0.016061140026912037,14.429668312499999,0.007110980504860476,0.04420650000000048,0.25,-0.1,0.013381100219943832,0.10021137500000243,0.3638496475070294,-0.291257675157931,2.771193984366197,0.10260909006179045,0.7650826607582537,1.0,1.2685365689708766e-05,0.025216663510605558,-0.5,0.9140541081062246,-0.0001851290094153979
ZTF18abwbidb,10.223867416381836,0.9220983982086182,0.09019076079130173,37.0,0.0,9.948607444763184,1.0066920518875122,0.10118924081325531,33.0,0.0,0.1294225021215544,0.15186768151944707,0.1294225021215544,0.0,0.1294225021215544,0.0,0.06948751933064937,0.0023726065366046407,0.09173755621346814,3.338958945034569,0.2512482105996423,0.27957083326972054,0.3257255960921488,0.25733128663899074,0.2805349461267308,0.11123896012210199,0.03601101429630972,0.014720007134410367,0.02061700876276944,0.015098509871274325,0.020610476977133845,6.176931762538887,0.195615559861539,4.619887956661234,3.7497287858762527,4.26910511486059,5.775774494955515,0.0031077590240072544,0.34136830948832214,0.12160671851381773,0.014136147853703221,0.057369586969380326,0.028152146500563694,0.04404100041247107,0.06116003643586203,6.11044876069484,4.334228898435109,4.326515150889517,4.379791686866751,6.214420458732875,1.0794098662750151,0.0021836455972396814,0.5104290000000002,0.5310019999999991,0.006987514,0.006987514,0.00084576866,0.003976664,0.007144114,0.0030545269,0.3584120000000004,0.9999999999953972,1.0,0.35555555555555557,0.0,5.40523521808937,0.3494850000000014,14.696585636051552,14.639062033333332,0.018057012314391264,0.19483799999999896,0.13333333333333333,-0.16666666666666666,0.037898969486418056,0.5104290000000002,0.19003569212431293,0.16666931734183874,-1.6699016533401245,0.2643377234070376,0.939642846340475,1.0,0.000325007978130522,0.38155345874380076,0.0202683911577309,4.522507915768552e-13,-7.81773323728493e-05,0.420261,0.999999999973948,1.0,0.3333333333333333,0.0,1.5650260242200373,0.5390469999999965,0.2310956139864607,15.353676785714288,0.019528307932655354,0.13786650000000122,0.21428571428571427,-0.16666666666666666,0.04689655703727534,0.5310019999999991,0.20233274470857093,0.502094191048786,-1.272399303976578,0.2998313281698907,0.888821617946142,1.0,0.0003803087764737055,0.4658010139882008,0.04494841995721274,0.7288424319363158,-2.37007560212955e-05
